task	arm	run	ops	correct	note
a	graph	r1	1	yes	caller module set {tools,kernel,main}; target @kernel#1518
a	graph	r2	1	yes	identical (query substrate -> zero variance)
a	text	r1	1	yes	bare-suffix search; module set {kernel,main,tools} from line content (1-vs-1 TIE)
a	text	r2	3	yes	qualified-first variance: misses kernel -> widen + classify read (+2 ops)
b	graph	r1	1	yes	reference-keyed @import#398 -> ultimate @kernel#298; 10 [mod,spelling] groups
b	graph	r2	1	yes	identical (daemon resolves reference->ultimate->reverse-lookup)
b	text	r1	2	yes	1 alternation pass (39/29/6=74) + 1 convergence read of the defrecord
b	text	r2	2	yes	identical minimal path
cal	graph	r1	1	partial	locates the var? node; body TEXT not cheaply served -> CONCEDED (text-favored)
cal	graph	r2	1	partial	identical
cal	text	r1	2	yes	search + read body
cal	text	r2	1	yes	search line already shows the body -> 1 op (text WINS/ties)
